Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Warner University,3,4,Private,Southeast,Fringe Rural,0.3378,19,908,1023,0.4194,0.4018,0.1232,0.0088,0.0029,0.002,0.0108,0.0205,0.1329,28555,3166,4638,0.3448,0.6488,0.4275,0.4923,0.3624,11.9,15306,24375,9500,0.870000005,0.649999976,28.25,48240.15,38439.5,9.850000381,42,428,40900,37000
Berea College,3,3,Private,Southeast,Distant Town,0.3401,24,1113,1587,0.6446,0.1512,0.0422,0.0151,0.0025,0.0019,0.051,0.0756,0.0038,30396,15067,7357,0.8444,0.8293,0.6167,0.8107,0.0746,12.8,5496.5,5750,4676.5,0.550000012,0.970000029,20.04999924,30776.75,29786.5,12.22999954,55,509,31200,29700
CUNY John Jay College of Criminal Justice,3,4,Public,Mid-Atlantic,Large City,0.3405,0,950,12838,0.2214,0.1934,0.4286,0.1099,0.0035,0.006,0.0103,0.027,0.1922,13308,8585,7339,0.3844,0.5446,0.335,0.7795,0.2011,10.3,8251,11500,6500,0.370000005,0.850000024,21.21999931,30945.09,23126,19.87999916,521,3924,41800,37600
CUNY City College,3,4,Public,Mid-Atlantic,Large City,0.341,0,1110,11820,0.1675,0.183,0.3226,0.2353,0.0008,0.0043,0.0108,0.0756,0.2215,14041,13009,8257,0.4029,0.5073,0.4201,0.8747,0.2353,9,10000,12500,8000,0.400000006,0.860000014,23.11000061,26864.6,20534,21.60000038,389,2368,43400,39700
Lafayette College,3,3,Private,Mid-Atlantic,Large Suburb,0.3414,29,1283,2452,0.6782,0.051,0.06,0.0298,0.0012,0.0004,0.0228,0.06,0.0069,57688,20383,10996,0.8571,0.1065,0.8832,0.9126,0.006,1.6,21648,24338,6500,0.959999979,0.230000004,19.31999969,122599.26,107123,5.199999809,30,390,69500,62400
Macalester College,3,3,Private,Great Plains,Large City,0.3416,31,1350,2029,0.6654,0.0266,0.0616,0.0705,0.001,0,0.0517,0.1232,0.0094,55393,17781,9450,0.7895,0.172,0.8742,0.9513,0.001,1.6,21996.5,23501.5,13717.5,0.99000001,0.319999993,19.37999916,93155.63,85439.5,6.03000021,35,308,45600,38900
Oakwood University,3,4,Private,Southeast,Mid-size City,0.3435,20,924,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0453,34705,7656,5307,1,0.5066,0.3632,0.7876,0.1472,10.7,22000,30500,18500,0.939999998,0.689999998,21.22999954,54196.14,42094.5,10.61999989,65,430,32300,27300
Southwestern Assemblies of God University,3,4,Private,Southwest,Large Suburb,0.3486,0,0,1669,0.6393,0.0989,0.2061,0.0102,0.018,0.006,0.0078,0.0042,0.1408,29652,5596,5329,0.536,0.5322,0.3238,0.6697,0.21,12.4,16970,26500,9500,0.920000017,0.689999998,22.86000061,53136.81,40330,9.479999542,85,606,32900,29600
Skidmore College,3,4,Private,Mid-Atlantic,Small Suburb,0.3505,28,1247,2646,0.6349,0.0359,0.0854,0.0578,0,0.0019,0.0446,0.0676,0.0049,58562,19402,9067,0.8271,0.1462,0.8592,0.9304,0.0078,3.3,19500,20500,10991.5,0.970000029,0.340000004,20.25,103433.96,79221,7.170000076,47,427,46200,41900
Grinnell College,3,3,Private,Great Plains,Remote Town,0.3506,30,1357,1661,0.5798,0.059,0.0837,0.0753,0.0018,0,0.0427,0.1264,0.0012,53318,23516,9129,0.8313,0.2097,0.8568,0.9324,0.0017,3,10022.5,10775,7950,0.949999988,0.349999994,19.37999916,98649.16,88440,6.889999866,26,240,47100,37600
CUNY York College,3,4,Public,Mid-Atlantic,Large City,0.351,0,905,7361,0.0693,0.4181,0.2285,0.2122,0.009,0.0096,0.0091,0.0442,0.3066,13967,8154,7001,0.3626,0.5399,0.2635,0.7415,0.2812,10.1,7000,10000,5500,0.230000004,0.930000007,24.18000031,25815.23,21863,16.60000038,276,1709,39100,35700
